name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3)
"K017",14295,1.953498949500000,1.000000000000000,253.0000000000000,91.63896467296254,53.20202847996924,6.000000000000000,254.0000000000000,109.2810772997551,54.04140569555469,2.000000000000000,254.0000000000000,94.29436866037072,52.77422156753624
"K023",24593,3.360783467300000,1.000000000000000,223.0000000000000,102.9653559956085,50.96319190569951,1.000000000000000,245.0000000000000,108.1830195584110,51.58146308165141,1.000000000000000,231.0000000000000,96.63203058278084,48.31403605480876
"K036",21743,2.971313582300000,1.000000000000000,230.0000000000000,100.0381732051695,51.27359481239569,6.000000000000000,250.0000000000000,115.2527361353812,52.26393343599278,1.000000000000000,224.0000000000000,91.60737776551214,50.84484334325469
"K053",16280,2.224761308000000,1.000000000000000,235.0000000000000,101.2243243243242,52.56448934515755,4.000000000000000,241.0000000000000,109.1842137592137,52.41161362955980,1.000000000000000,213.0000000000000,91.76911258603734,49.46247205058509
"K054",27296,3.730164905600000,2.000000000000000,254.0000000000000,120.2726406799530,57.80518190497475,6.000000000000000,254.0000000000000,126.1418156506449,57.48830126428994,1.000000000000000,250.0000000000000,104.7909107568262,55.17736530018453
"K055",7176,0.9806441736000000,9.000000000000000,231.0000000000000,109.6872909698996,56.68736474193233,8.000000000000000,245.0000000000000,117.8882385730212,55.01267559648144,3.000000000000000,212.0000000000000,101.4712931995541,48.50121028181949
"K058",25810,3.527093941000000,1.000000000000000,254.0000000000000,106.2676869430453,61.68055023005999,3.000000000000000,255.0000000000000,113.4165827198760,60.96593256925013,1.000000000000000,251.0000000000000,92.32531802668318,53.24421186872168
"K066",23626,3.228637018600000,1.000000000000000,243.0000000000000,110.2900617963261,59.48364808662573,4.000000000000000,251.0000000000000,116.6892406670618,60.23325960061808,1.000000000000000,232.0000000000000,106.0312394175414,59.00747498501001
"K079",22772,3.111932709200000,1.000000000000000,252.0000000000000,95.63310205515538,56.07037569279478,3.000000000000000,254.0000000000000,110.3718438501734,57.40853975478383,1.000000000000000,206.0000000000000,77.47150646381144,49.11412447015549
"K180",7116,0.9724448076000001,5.000000000000000,246.0000000000000,129.0720910623947,55.27895401663160,4.000000000000000,250.0000000000000,127.4780775716695,61.90161938184117,9.000000000000000,251.0000000000000,132.5808038223722,63.31073912915335
"K181",21047,2.876200936700000,1.000000000000000,255.0000000000000,118.7602508671069,62.76463890357804,9.000000000000000,255.0000000000000,133.3216135316196,64.84046680151023,1.000000000000000,234.0000000000000,103.4514657670927,53.77281860503391
"K183",17335,2.368933493500000,1.000000000000000,218.0000000000000,86.63945774444763,49.51217816805166,7.000000000000000,244.0000000000000,107.0077877127199,54.03110733728663,1.000000000000000,216.0000000000000,70.45306098897923,40.16886927899013
"K186",5008,0.6843737488000000,1.000000000000000,216.0000000000000,75.21465654952073,48.03568310381464,3.000000000000000,253.0000000000000,97.03849990025932,51.92597401722494,1.000000000000000,205.0000000000000,74.47604790419162,42.02822926855104
"K197",20398,2.787511127800000,2.000000000000000,233.0000000000000,93.70001960976566,54.13296472829337,7.000000000000000,254.0000000000000,111.0409333790872,56.16825501028585,2.000000000000000,216.0000000000000,86.63267807245460,48.15440054279861
"K215",18434,2.519118547400000,1.000000000000000,219.0000000000000,96.71720733427358,50.93376592126731,8.000000000000000,251.0000000000000,120.6416404470001,55.88617651125440,1.000000000000000,224.0000000000000,81.08158280410359,43.45543952424392
"K219",26495,3.620703369500000,1.000000000000000,242.0000000000000,114.3366672957161,55.01877803741109,3.000000000000000,248.0000000000000,119.7650500094357,54.20934555478932,1.000000000000000,249.0000000000000,101.5938314017138,51.35018698225707
"K233",19357,2.645252127700000,3.000000000000000,236.0000000000000,85.99762359869818,54.74375667554908,2.000000000000000,241.0000000000000,92.75404246525802,54.57389089935840,2.000000000000000,230.0000000000000,88.20359559849153,50.24229093704139
"K268",3017,0.4122914537000000,6.000000000000000,226.0000000000000,118.6088829963540,50.41510210775843,19.00000000000000,237.0000000000000,125.5903215114352,50.11058605402420,3.000000000000000,200.0000000000000,80.43387470997682,39.80926448863641
"K280",14160,1.935050376000000,1.000000000000000,237.0000000000000,91.66836158192092,54.22764273046953,6.000000000000000,247.0000000000000,104.2569209039548,54.35877246516115,1.000000000000000,227.0000000000000,88.65607344632765,49.64556704968141
"K286",13172,1.800034149200000,1.000000000000000,228.0000000000000,91.18683571211656,52.21468069046922,1.000000000000000,245.0000000000000,92.79269496544913,50.64521280723151,1.000000000000000,199.0000000000000,84.05918103775743,45.90734352125830
"K302",9268,1.266528734800000,11.00000000000000,241.0000000000000,136.4050496331463,45.45380146624163,7.000000000000000,225.0000000000000,124.6968062149331,43.95760539581067,3.000000000000000,227.0000000000000,115.5415407854985,43.78029035967322
"K316",29101,3.976829166100000,4.000000000000000,250.0000000000000,125.2612968626507,55.02106597463151,11.00000000000000,254.0000000000000,136.6641008900039,58.09540724677280,1.000000000000000,227.0000000000000,88.64382431782248,46.26067954962798
"K352",21288,2.909135056800000,2.000000000000000,242.0000000000000,117.0360296880871,55.65150599128048,4.000000000000000,251.0000000000000,126.4194851559563,57.33807881724043,1.000000000000000,209.0000000000000,86.06763875823145,46.56209338259614
"K353",27516,3.760229247600000,2.000000000000000,253.0000000000000,111.9403256287252,54.34912146471439,8.000000000000000,254.0000000000000,123.6982846343946,55.16252074259203,1.000000000000000,217.0000000000000,91.35959676832371,51.12943178626084
"K354",19055,2.603981985500000,5.000000000000000,255.0000000000000,128.7456835476253,57.60956929322529,14.00000000000000,254.0000000000000,129.8848071372342,55.51370645592834,1.000000000000000,219.0000000000000,97.58148323098722,50.31497929930777
"K359",19470,2.660694267000000,1.000000000000000,250.0000000000000,93.50148947098097,50.01179451870136,1.000000000000000,249.0000000000000,80.89227370800367,49.11060876263929,1.000000000000000,241.0000000000000,76.09153482638175,46.49329842488049
"K383",16319,2.230090895900000,6.000000000000000,254.0000000000000,134.6741834671241,54.00623941649857,14.00000000000000,254.0000000000000,131.3323733071881,51.42781613613673,4.000000000000000,221.0000000000000,110.5331821802807,46.71901898592600
"K402",17128,2.340645680800000,11.00000000000000,253.0000000000000,130.6227230266230,55.68051587378591,12.00000000000000,254.0000000000000,133.5432624941617,54.46244678274535,3.000000000000000,241.0000000000000,113.1806982718356,47.94493819040648
"K403",14961,2.044511912100000,6.000000000000000,251.0000000000000,131.1302052001872,55.18994325886234,9.000000000000000,254.0000000000000,134.1918989372369,53.70329836447675,4.000000000000000,215.0000000000000,118.5294432190362,51.33658805126017
"K409",4985,0.6812306585000001,2.000000000000000,226.0000000000000,72.85135406218659,43.51599965293867,2.000000000000000,228.0000000000000,62.74423269809426,46.33329533888437,11.00000000000000,234.0000000000000,72.31614844533601,45.45609277528474
"K412",5941,0.8118738901000000,4.000000000000000,221.0000000000000,105.8520451102508,49.07126842793636,2.000000000000000,218.0000000000000,95.80424171014988,55.36613566646911,5.000000000000000,216.0000000000000,102.5938394209730,55.06241474541805
"K414",10425,1.424639842500000,1.000000000000000,250.0000000000000,72.14206235011987,48.59959294230418,2.000000000000000,248.0000000000000,71.79516453995974,49.69421722020424,1.000000000000000,240.0000000000000,79.69995203836926,49.58745912286396
"K418",24166,3.302431312600000,2.000000000000000,248.0000000000000,119.6116444591576,55.20505659512145,3.000000000000000,250.0000000000000,125.2366548042705,54.32935614770093,1.000000000000000,236.0000000000000,111.7472686641285,54.37533037886630
"K424",6815,0.9313113215000001,5.000000000000000,200.0000000000000,88.71078503301541,48.66305769496681,12.00000000000000,202.0000000000000,97.60264123257518,47.68541731419361,10.00000000000000,214.0000000000000,97.07278063096109,47.91158925167201
"K430",23501,3.211555006100000,1.000000000000000,251.0000000000000,107.2526700991448,57.28432247930336,3.000000000000000,253.0000000000000,111.7149483000723,56.65535877779740,1.000000000000000,253.0000000000000,107.1315688694098,52.66978106876995
"K433",20973,2.866088385300000,8.000000000000000,254.0000000000000,132.7569255709721,58.25695185774745,14.00000000000000,254.0000000000000,140.7368044628808,58.08271934826185,1.000000000000000,224.0000000000000,110.8475659180852,49.07585866873866
"K434",20375,2.784368037500000,2.000000000000000,255.0000000000000,118.4370061349693,62.77816587164541,8.000000000000000,255.0000000000000,133.3262331288343,64.43639126388312,1.000000000000000,236.0000000000000,107.6445153374233,53.45238963250930
"K439",7935,1.084366153500000,1.000000000000000,209.0000000000000,81.29464398235662,44.58822485941887,1.000000000000000,205.0000000000000,75.64713295526145,47.75956499946457,4.000000000000000,203.0000000000000,80.92791430371774,49.50631338688318
"K441",15533,2.122679201300000,1.000000000000000,230.0000000000000,93.31178780660527,54.12274955882842,4.000000000000000,244.0000000000000,105.9985836605935,55.26779091754078,1.000000000000000,210.0000000000000,88.75973733341922,49.40389139447255
"K444",19340,2.642928974000000,2.000000000000000,238.0000000000000,83.54141675284382,52.53092521155940,2.000000000000000,240.0000000000000,86.63795243019648,50.93248012382671,1.000000000000000,245.0000000000000,81.23097207859361,48.18175083137535
"K447",17837,2.437534855700000,5.000000000000000,253.0000000000000,123.5348993664853,58.42833226698928,15.00000000000000,255.0000000000000,138.5633794920670,60.04279217067467,5.000000000000000,235.0000000000000,112.0725458316982,50.69720350737224
"K452",17849,2.439174728900000,6.000000000000000,255.0000000000000,127.8533251162529,60.20483487915041,11.00000000000000,255.0000000000000,130.5912936298951,58.45871550966746,3.000000000000000,240.0000000000000,108.4725194688778,50.75748756890412
"K467",14994,2.049021563400000,1.000000000000000,238.0000000000000,116.6862078164599,56.05787842811120,10.00000000000000,254.0000000000000,132.2853808189943,57.82177061486719,1.000000000000000,198.0000000000000,85.03885180240317,45.63880095668526
"K488",2662,0.3637785382000000,3.000000000000000,202.0000000000000,77.27610818933131,44.86506581079544,1.000000000000000,208.0000000000000,66.88872180451128,50.89206130226140,5.000000000000000,217.0000000000000,77.49849737039818,51.91066204083010
"K488x",10549,1.441585198900000,8.000000000000000,235.0000000000000,125.9278604607072,50.15828765818421,25.00000000000000,251.0000000000000,141.3185136031851,51.51650330937282,3.000000000000000,213.0000000000000,100.0088160015168,43.98550130441991
